dip,dib,rm,ind_corr,v_corr,perc_juros,v_juros,rm_atual,v_ant,v_atual,soma,parcelas,p_ant,p_atual
01/09/2024,01/01/2015,788,1.49701303,1179.64626764,0.3173,374.301760722172,1553.948028362172,72985.57423468852,11734.42576531148,84720.0,108,108,8
01/09/2024,01/02/2015,788,1.48380715,1169.2400342,0.3173,370.99986285166005,1540.2398970516601,72985.57423468852,11734.42576531148,84720.0,107,107,8
01/09/2024,01/03/2015,788,1.46433154,1153.8932535200001,0.3173,366.1303293418961,1520.023582861896,72985.57423468852,11734.42576531148,84720.0,106,106,8
01/09/2024,01/04/2015,788,1.44639623,1139.76022924,0.3173,361.645920737852,1501.406149977852,72985.57423468852,11734.42576531148,84720.0,105,105,8
01/09/2024,01/05/2015,788,1.43108363,1127.69390044,0.3173,357.81727460961207,1485.5111750496121,72985.57423468852,11734.42576531148,84720.0,104,104,8
01/09/2024,01/06/2015,788,1.42254834,1120.96809192,0.3173,355.68317556621605,1476.651267486216,72985.57423468852,11734.42576531148,84720.0,103,103,8
01/09/2024,01/07/2015,788,1.40860317,1109.97929796,0.3173,352.196431242708,1462.175729202708,72985.57423468852,11734.42576531148,84720.0,102,102,8
01/09/2024,01/08/2015,788,1.40034116,1103.46883408,0.3173,350.13066105358405,1453.5994951335842,72985.57423468852,11734.42576531148,84720.0,101,101,8
01/09/2024,01/09/2015,788,1.39434547,1098.74423036,0.3173,348.63154429322805,1447.375774653228,72985.57423468852,11734.42576531148,84720.0,100,100,8
01/09/2024,01/10/2015,788,1.38892865,1094.4757762,0.3173,347.27716378826,1441.7529399882599,72985.57423468852,11734.42576531148,84720.0,99,99,8
01/09/2024,01/11/2015,788,1.37982183,1087.29960204,0.3173,345.00016372729203,1432.2997657672922,72985.57423468852,11734.42576531148,84720.0,98,98,8
01/09/2024,01/12/2015,788,1.36819219,1078.13544572,0.3173,342.09237692695604,1420.2278226469562,72985.57423468852,11734.42576531148,84720.0,97,97,8
01/09/2024,01/01/2016,880,1.35223581,1189.9675128000001,0.3173,377.57669181144007,1567.5442046114401,72985.57423468852,11734.42576531148,84720.0,96,96,8
01/09/2024,01/02/2016,880,1.33990865,1179.119612,0.3173,374.1346528876,1553.2542648876,72985.57423468852,11734.42576531148,84720.0,95,95,8
01/09/2024,01/03/2016,880,1.32114834,1162.6105392,0.3173,368.89632408816004,1531.50686328816,72985.57423468852,11734.42576531148,84720.0,94,94,8
01/09/2024,01/04/2016,880,1.31549173,1157.6327224,0.3173,367.31686281752,1524.94958521752,72985.57423468852,11734.42576531148,84720.0,93,93,8
01/09/2024,01/05/2016,880,1.30881676,1151.7587488,0.3173,365.45305099424,1517.21179979424,72985.57423468852,11734.42576531148,84720.0,92,92,8
01/09/2024,01/06/2016,880,1.29765691,1141.9380807999999,0.3173,362.33695303784,1504.2750338378398,72985.57423468852,11734.42576531148,84720.0,91,91,8
01/09/2024,01/07/2016,880,1.29248697,1137.3885335999998,0.3173,360.89338171127997,1498.2819153112798,72985.57423468852,11734.42576531148,84720.0,90,90,8
01/09/2024,01/08/2016,880,1.28554502,1131.2796176,0.3173,358.95502266448,1490.2346402644798,72985.57423468852,11734.42576531148,84720.0,89,89,8
01/09/2024,01/09/2016,880,1.27978599,1126.2116712,0.3173,357.34696327176,1483.55863447176,72985.57423468852,11734.42576531148,84720.0,88,88,8
01/09/2024,01/10/2016,880,1.27684923,1123.6273224000001,0.3173,356.52694939752007,1480.1542717975203,72985.57423468852,11734.42576531148,84720.0,87,87,8
01/09/2024,01/11/2016,880,1.27442782,1121.4964816000002,0.3173,355.85083361168006,1477.3473152116803,72985.57423468852,11734.42576531148,84720.0,86,86,8
01/09/2024,01/12/2016,880,1.2711229,1118.588152,0.3173,354.92802062960004,1473.5161726296,72985.57423468852,11734.42576531148,84720.0,85,85,8
01/09/2024,01/01/2017,937,1.26871235,1188.78347195,0.3173,377.20099564973503,1565.984467599735,72985.57423468852,11734.42576531148,84720.0,84,84,8
01/09/2024,01/02/2017,937,1.26479149,1185.10962613,0.3173,376.035284371049,1561.1449105010488,72985.57423468852,11734.42576531148,84720.0,83,83,8
01/09/2024,01/03/2017,937,1.2579983,1178.7444071,0.3173,374.01560037283,1552.76000747283,72985.57423468852,11734.42576531148,84720.0,82,82,8
01/09/2024,01/04/2017,937,1.25611413,1176.9789398100002,0.3173,373.45541760171307,1550.4343574117133,72985.57423468852,11734.42576531148,84720.0,81,81,8
01/09/2024,01/05/2017,937,1.25348182,1174.51246534,0.3173,372.67280525238203,1547.185270592382,72985.57423468852,11734.42576531148,84720.0,80,80,8
01/09/2024,01/06/2017,937,1.25048067,1171.70038779,0.3173,371.780533045767,1543.480920835767,72985.57423468852,11734.42576531148,84720.0,79,79,8
01/09/2024,01/07/2017,937,1.24848309,1169.82865533,0.3173,371.186632336209,1541.015287666209,72985.57423468852,11734.42576531148,84720.0,78,78,8
01/09/2024,01/08/2017,937,1.25073442,1171.9381515399998,0.3173,371.855975483642,1543.7941270236417,72985.57423468852,11734.42576531148,84720.0,77,77,8
01/09/2024,01/09/2017,937,1.24637211,1167.85066707,0.3173,370.55901666131103,1538.4096837313111,72985.57423468852,11734.42576531148,84720.0,76,76,8
01/09/2024,01/10/2017,937,1.24500261,1166.56744557,0.3173,370.15185047936103,1536.719296049361,72985.57423468852,11734.42576531148,84720.0,75,75,8
01/09/2024,01/11/2017,937,1.24078394,1162.61455178,0.3173,368.89759727979407,1531.5121490597942,72985.57423468852,11734.42576531148,84720.0,74,74,8
01/09/2024,01/12/2017,937,1.2368261,1158.9060557,0.3173,367.72089147361004,1526.62694717361,72985.57423468852,11734.42576531148,84720.0,73,73,8
01/09/2024,01/01/2018,954,1.23251231,1175.81674374,0.3173,373.08665278870205,1548.9033965287022,72985.57423468852,11734.42576531148,84720.0,72,72,8
01/09/2024,01/02/2018,954,1.22772418,1171.2488677200001,0.3173,371.6372657275561,1542.8861334475562,72985.57423468852,11734.42576531148,84720.0,71,71,8
01/09/2024,01/03/2018,954,1.22307649,1166.81497146,0.3173,370.23039044425803,1537.045361904258,72985.57423468852,11734.42576531148,84720.0,70,70,8
01/09/2024,01/04/2018,954,1.22185464,1165.6493265600002,0.3173,369.8605313174881,1535.5098578774882,72985.57423468852,11734.42576531148,84720.0,69,69,8
01/09/2024,01/05/2018,954,1.21929412,1163.20659048,0.3173,369.085451159304,1532.292041639304,72985.57423468852,11734.42576531148,84720.0,68,68,8
01/09/2024,01/06/2018,954,1.2175895,1161.5803830000002,0.3173,368.5694555259001,1530.1498385259003,72985.57423468852,11734.42576531148,84720.0,67,67,8
01/09/2024,01/07/2018,954,1.20422262,1148.82837948,0.3173,364.52324480900404,1513.3516242890041,72985.57423468852,11734.42576531148,84720.0,66,66,8
01/09/2024,01/08/2018,954,1.19656461,1141.52263794,0.3173,362.20513301836206,1503.7277709583623,72985.57423468852,11734.42576531148,84720.0,65,65,8
01/09/2024,01/09/2018,954,1.1950111,1140.0405894,0.3173,361.73487901662,1501.77546841662,72985.57423468852,11734.42576531148,84720.0,64,64,8
01/09/2024,01/10/2018,954,1.19393655,1139.0154687000002,0.3173,361.4096082185101,1500.4250769185103,72985.57423468852,11734.42576531148,84720.0,63,63,8
01/09/2024,01/11/2018,954,1.18705165,1132.4472741,0.3173,359.32552007193004,1491.77279417193,72985.57423468852,11734.42576531148,84720.0,62,62,8
01/09/2024,01/12/2018,954,1.18480053,1130.29970562,0.3173,358.64409659322604,1488.943802213226,72985.57423468852,11734.42576531148,84720.0,61,61,8
01/09/2024,01/01/2019,998,1.18669925,1184.3258515,0.3173,375.78659268095004,1560.11244418095,72985.57423468852,11734.42576531148,84720.0,60,60,8
01/09/2024,01/02/2019,998,1.1831498,1180.7835004,0.3173,374.66260467692007,1555.44610507692,72985.57423468852,11734.42576531148,84720.0,59,59,8
01/09/2024,01/03/2019,998,1.17914072,1176.78243856,0.3173,373.393067755088,1550.175506315088,72985.57423468852,11734.42576531148,84720.0,58,58,8
01/09/2024,01/04/2019,998,1.17280756,1170.4619448800001,0.3173,371.38757511042405,1541.8495199904241,72985.57423468852,11734.42576531148,84720.0,57,57,8
01/09/2024,01/05/2019,998,1.16442371,1162.09486258,0.3173,368.732699896634,1530.8275624766338,72985.57423468852,11734.42576531148,84720.0,56,56,8
01/09/2024,01/06/2019,998,1.16036244,1158.0417151200002,0.3173,367.4466362075761,1525.4883513275763,72985.57423468852,11734.42576531148,84720.0,55,55,8
01/09/2024,01/07/2019,998,1.15966664,1157.34730672,0.3173,367.22630042225603,1524.5736071422562,72985.57423468852,11734.42576531148,84720.0,54,54,8
